Country,Spearman_RF_DT_top20,Spearman_RF_XGB_top20,Spearman_DT_XGB_top20,Jaccard_RF_DT_top20,Jaccard_RF_XGB_top20,Jaccard_DT_XGB_top20
Afghanistan,0.4224806201550388,0.8662337662337661,0.2647058823529412,0.6,0.9047619047619048,0.5384615384615384
Albania,0.3193798449612403,0.5623762376237623,-0.05736434108527131,0.6,0.7391304347826086,0.6
Angola,0.6186440677966102,0.796943231441048,0.6085271317829456,0.8181818181818182,0.6666666666666666,0.6
Armenia,0.49844961240310076,0.5192139737991266,0.3682170542635658,0.6,0.6666666666666666,0.6
Azerbaijan,0.48992248062015503,0.6131004366812227,0.19100346020761247,0.6,0.6666666666666666,0.5384615384615384
Bangladesh,0.42139737991266374,0.6471615720524019,0.26124031007751936,0.6666666666666666,0.6666666666666666,0.6
Benin,0.5812227074235807,0.6253275109170305,0.32868217054263565,0.6666666666666666,0.6666666666666666,0.6
Bolivia,0.31004366812227074,0.4790697674418605,0.06593886462882095,0.6666666666666666,0.6,0.6666666666666666
Burkina Faso,0.5108527131782945,0.6873362445414847,0.31683168316831684,0.6,0.6666666666666666,0.7391304347826086
Burundi,0.6445414847161574,0.6504950495049504,0.5947598253275109,0.6666666666666666,0.7391304347826086,0.6666666666666666
Cambodia,0.4906976744186047,0.6282485875706215,0.472318339100346,0.6,0.8181818181818182,0.5384615384615384
Cameroon,0.46816608996539794,0.4724890829694323,0.04161490683229814,0.5384615384615384,0.6666666666666666,0.48148148148148145
Chad,0.5410852713178295,0.9242937853107345,0.4391003460207612,0.6,0.8181818181818182,0.5384615384615384
Colombia,0.5991266375545852,0.7744360902255639,0.5331877729257641,0.6666666666666666,1.0,0.6666666666666666
Comoros,0.5821705426356589,0.8158192090395481,0.3091703056768559,0.6,0.8181818181818182,0.6666666666666666
Congo,0.5270742358078603,0.9344632768361583,0.4937984496124031,0.6666666666666666,0.8181818181818182,0.6
Congo Democratic Republic,0.6100775193798449,0.8451977401129944,0.5809688581314879,0.6,0.8181818181818182,0.5384615384615384
Cote d_Ivoire,0.6372093023255815,0.4792079207920792,0.19689922480620153,0.6,0.7391304347826086,0.6
Dominican Republic,0.8062146892655369,0.5580786026200873,0.3947598253275109,0.8181818181818182,0.6666666666666666,0.6666666666666666
Egypt,0.7694915254237288,0.44263565891472867,0.505240174672489,0.8181818181818182,0.6,0.6666666666666666
Eritrea,0.7468926553672316,0.7222707423580786,0.7455445544554454,0.8181818181818182,0.6666666666666666,0.7391304347826086
Eswatini,0.30697674418604654,0.39147286821705424,-0.14037267080745344,0.6,0.6,0.48148148148148145
Ethiopia,0.65764192139738,0.6502183406113538,0.7449612403100775,0.6666666666666666,0.6666666666666666,0.6
Gabon,0.5534883720930233,0.4643410852713178,0.25813953488372093,0.6,0.6,0.6
Gambia,0.4434108527131783,0.5677966101694916,0.2605536332179931,0.6,0.8181818181818182,0.5384615384615384
Ghana,0.5937984496124031,0.23953488372093024,0.18322981366459626,0.6,0.6,0.48148148148148145
Guatemala,0.713953488372093,0.40830449826989623,0.2091703056768559,0.6,0.5384615384615384,0.6666666666666666
Guinea,0.7455445544554454,0.6702970297029702,0.7009900990099008,0.7391304347826086,0.7391304347826086,0.7391304347826086
Guyana,0.18074534161490682,0.6353711790393013,-0.02670807453416149,0.48148148148148145,0.6666666666666666,0.48148148148148145
Haiti,0.3519031141868512,0.46089965397923877,0.07785467128027682,0.5384615384615384,0.5384615384615384,0.5384615384615384
Honduras,0.5439446366782007,0.45017301038062285,0.23105590062111803,0.5384615384615384,0.5384615384615384,0.48148148148148145
India,0.4465116279069768,0.8429378531073446,0.2881987577639752,0.6,0.8181818181818182,0.48148148148148145
Indonesia,0.5910891089108911,0.4423580786026201,0.18527131782945735,0.7391304347826086,0.6666666666666666,0.6
Jordan,0.45658914728682165,0.7915254237288136,0.5672489082969432,0.6,0.8181818181818182,0.6666666666666666
Kenya,0.6037267080745341,0.6949152542372882,0.47474048442906575,0.48148148148148145,0.8181818181818182,0.5384615384615384
Kyrgyz Republic,0.3147286821705426,0.8779661016949154,0.0875968992248062,0.6,0.8181818181818182,0.6
Lesotho,0.413840830449827,0.38961937716262973,-0.13023255813953488,0.5384615384615384,0.5384615384615384,0.6
Liberia,0.527681660899654,0.6178217821782177,0.2761245674740484,0.5384615384615384,0.7391304347826086,0.5384615384615384
Madagascar,0.640484429065744,0.3474576271186441,0.26666666666666666,0.5384615384615384,0.8181818181818182,0.6
Malawi,0.44573643410852715,0.07286821705426356,0.26434108527131783,0.6,0.6,0.6
Maldives,0.31705426356589145,0.8112994350282487,0.4135371179039301,0.6,0.8181818181818182,0.6666666666666666
Mali,0.2730103806228374,0.4611353711790393,0.004481792717086834,0.5384615384615384,0.6666666666666666,0.42857142857142855
Moldova,0.3807860262008734,0.49694323144104807,0.16976744186046513,0.6666666666666666,0.6666666666666666,0.6
Morocco,0.5193798449612402,0.7711864406779663,0.39069767441860465,0.6,0.8181818181818182,0.6
Mozambique,0.47958477508650516,0.22314410480349345,0.2093167701863354,0.5384615384615384,0.6666666666666666,0.48148148148148145
Myanmar,0.3110726643598616,0.4224806201550388,-0.03850931677018633,0.5384615384615384,0.6,0.48148148148148145
Namibia,0.4639751552795031,0.46124031007751937,0.2830449826989619,0.48148148148148145,0.6,0.5384615384615384
Nepal,0.4342560553633218,0.48471615720524014,0.17301038062283736,0.5384615384615384,0.6666666666666666,0.5384615384615384
Nicaragua,0.3459627329192546,0.5801980198019802,0.2730103806228374,0.48148148148148145,0.7391304347826086,0.5384615384615384
Niger,0.42270742358078606,0.6782178217821782,0.37772925764192145,0.6666666666666666,0.7391304347826086,0.6666666666666666
Nigeria,0.4540372670807454,0.32558139534883723,0.1546712802768166,0.48148148148148145,0.6,0.5384615384615384
Pakistan,0.7316384180790961,0.727683615819209,0.4610169491525424,0.8181818181818182,0.8181818181818182,0.8181818181818182
Peru,0.23975155279503105,0.7254237288135593,0.002325581395348837,0.48148148148148145,0.8181818181818182,0.6
Philippines,0.6891472868217055,0.3225988700564972,0.21615720524017468,0.6,0.8181818181818182,0.6666666666666666
Rwanda,0.5048034934497817,0.6386138613861386,0.4728682170542635,0.6666666666666666,0.7391304347826086,0.6
Sao Tome and Principe,0.541860465116279,0.5506550218340611,0.006201550387596899,0.6,0.6666666666666666,0.6
Senegal,0.5912663755458516,0.4937716262975778,0.3633217993079585,0.6666666666666666,0.5384615384615384,0.5384615384615384
Sierra Leone,0.61280276816609,0.697029702970297,0.6496124031007752,0.5384615384615384,0.7391304347826086,0.6
South Africa,0.4370242214532872,0.6768558951965065,0.1930232558139535,0.5384615384615384,0.6666666666666666,0.6
Tajikistan,0.7353711790393013,0.7435643564356437,0.7732673267326732,0.6666666666666666,0.7391304347826086,0.7391304347826086
Tanzania,0.5953488372093023,0.5730103806228373,0.19316770186335405,0.6,0.5384615384615384,0.48148148148148145
Timor-Leste,0.3643410852713178,0.8954802259887006,0.2705882352941177,0.6,0.8181818181818182,0.5384615384615384
Togo,0.17888198757763973,0.5821705426356589,-0.07554585152838428,0.48148148148148145,0.6,0.6666666666666666
Turkey,0.49126637554585156,0.47326732673267324,0.19519650655021833,0.6666666666666666,0.7391304347826086,0.6666666666666666
Turkmenistan,0.33668122270742357,0.5974025974025974,0.22170542635658916,0.6666666666666666,0.9047619047619048,0.6
Uganda,0.6767441860465117,0.29069767441860467,0.36812227074235804,0.6,0.6,0.6666666666666666
Ukraine,0.3386138613861386,0.7796610169491526,0.30697674418604654,0.7391304347826086,0.8181818181818182,0.6
Yemen,0.12574257425742572,0.7188118811881188,0.12925764192139738,0.7391304347826086,0.7391304347826086,0.6666666666666666
Zambia,0.6611353711790393,0.4914728682170542,0.37425742574257426,0.6666666666666666,0.6,0.7391304347826086
Zimbabwe,0.5764705882352941,0.34705882352941175,0.30697674418604654,0.5384615384615384,0.5384615384615384,0.6
